homepage,base,lang
https://wikipedia.org,https://wikipedia.org,en
https://stackoverflow.com,https://stackoverflow.com,en
https://www.geeksforgeeks.org,https://www.geeksforgeeks.org,en
https://devhindi.in,https://devhindi.in,hi
https://tcs.com,https://tcs.com,en
https://google.com,https://google.com,en
https://pib.gov.in,https://pib.gov.in,en
https://www.livehindustan.com,https://www.livehindustan.com,en
https://indianexpress.com,https://indianexpress.com,en
https://telugu.greatandhra.com,https://telugu.greatandhra.com,tel
https://knit.ac.in,https://knit.ac.in,en
